Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording17	Participant17	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	96142	0				83773	458	183	250	3,48439	167	127,77	30,25	516,49	90,77	3,91	0,76	14,49	653,69	443	4,49	143,68	114,83	5,02
Recording19	Participant19	Timeline1	image 2	1	image 2	5015	49698				3914	326	12	316	3,3372	12	208,75	42,79	520,14	139,11	5,47	0,94	9,23	65,69	155	98,69	272,36	139,48	8,92
Recording19	Participant19	Timeline1	image 7	1	image 7	5015	74708				4314	254	17	133	3,83227	14	99,39	30,93	272,84	82,44	3,05	0,46	8,72	42,76	177	305,77	140,66	97,81	3,19
Recording19	Participant19	Timeline1	imagen 4	1	imagen 4	4982	59728				3964	264	15	133	3,37644	15	226,75	53,63	595,28	171,47	5,25	1,56	11,69	78,82	467	326,12	199,23	150,48	5,34
Recording19	Participant19	Timeline1	imagen 5	1	imagen 5	4999	64711				3647	365	10	133	3,50048	11	123,76	49,54	323,55	83,67	3,53	1,27	8,6	38,82	198	187,25	84,42	84,42	1,85
Recording19	Participant19	Timeline1	imagen 10	1	imagen 10	4999	84722				4230	385	11	217	3,94837	11	141,61	45,58	272,8	76,67	3,95	1,27	6,77	43,44	139	200,31	272,8	121,28	6,77
Recording19	Participant19	Timeline1	Imagen 1	1	Imagen 1	5016	44682				3597	257	14	250	3,68182	13	114,71	33,7	273,23	84,93	3,16	0,73	6,43	41,14	191	230,59	226,53	151,22	5,64
Recording19	Participant19	Timeline1	Imagen 3	1	Imagen 3	5015	54713				4164	320	13	366	3,45566	13	149,06	43,45	362,81	104,56	3,65	1,39	7,36	47,42	203	239,68	177,42	128,02	5,14
Recording19	Participant19	Timeline1	Imagen 6	1	Imagen 6	4999	69709				4030	310	13	200	3,62461	11	197,55	40,68	504,09	161,45	5,36	1,5	10,21	58,96	62	34,89	42,9	39,17	1,72
Recording19	Participant19	Timeline1	Imagen 8	1	Imagen 8	4999	79724				4230	282	15	133	3,93358	13	162,05	31,79	400,33	124,21	4,35	1,21	9,04	56,54	391	245,95	37,17	33,76	1,38
Recording19	Participant19	Timeline1	imagenes 13	1	imagenes 13	4999	89721				4064	254	16	200	3,70323	14	202,42	30,37	647,42	171,51	5,04	1,19	16,18	70,61	169	105,07	89,13	69,03	4,21
Recording19	Participant19	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	94906	0				76628	395	194	200	3,66492	174	162,81	30,37	673,54	131,72	4,41	0,46	18	768,17	422	250,34	75,17	75,17	1,65
Recording12	Participant12	Timeline1	image 2	1	image 2	4999	60100				3581	256	14	200	2,98263	14	183,48	37,1	562,49	127,82	4,81	0,79	11,91	67,28	131	101,62	245,28	210,52	7,6
Recording12	Participant12	Timeline1	image 7	1	image 7	4999	85127				2348	235	10	350	2,99499	11	156,12	34,56	427,41	141,28	4,19	0,89	9,94	46,13	452	264,5	100,89	96,01	4,83
Recording12	Participant12	Timeline1	imagen 4	1	imagen 4	4982	70131				4180	279	15	150	3,12474	14	165,64	51,61	354,18	107,35	4,18	1,39	9,32	58,48	26	177,1	120,1	82,72	4,25
Recording12	Participant12	Timeline1	imagen 5	1	imagen 5	4999	75113				4114	343	12	383	3,34728	12	68,4	46,5	122,57	24,13	1,73	1,12	2,9	20,81	174	216,49	48,98	48,98	1,75
Recording12	Participant12	Timeline1	imagen 10	1	imagen 10	4999	95125				3248	271	12	117	3,65381	12	92,88	37,36	202,93	50,82	2,25	1,08	4,56	27,02	247	288,53	128,21	128,21	2,64
Recording12	Participant12	Timeline1	Imagen 1	1	Imagen 1	5015	55085				4064	254	16	283	3,49538	14	111,23	30,6	414,56	108,25	2,54	0,56	8,42	35,62	50	145,08	40,82	40,82	1,46
Recording12	Participant12	Timeline1	Imagen 3	1	Imagen 3	5032	65099				3198	355	9	450	3,01227	9	113,92	34,37	268,99	86,1	2,54	0,85	4,61	22,9	145	247,8	117,32	81,74	3,32
Recording12	Participant12	Timeline1	Imagen 6	1	Imagen 6	5015	80112				3597	240	15	233	3,16471	16	132,71	36,65	396,33	99,48	2,81	0,7	7,33	45,02	38	323,62	82,7	82,7	1,51
Recording12	Participant12	Timeline1	Imagen 8	1	Imagen 8	4999	90126				3564	223	16	217	3,51248	15	147,06	46,5	448,61	117	3,54	0,89	8,72	53,15	17	182,69	46,5	46,5	0,89
Recording12	Participant12	Timeline1	imagenes 13	1	imagenes 13	5015	100124				3264	192	17	167	3,26667	15	186,62	33,53	485,23	134,86	5,17	0,56	11,49	77,54	212	195,49	172,9	106,62	6,08
Recording12	Participant12	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	105325	0				85038	407	209	83	3,28615	184	128,23	30,03	562,49	105,43	3,43	0,56	12,52	631,95	276	194,5	196,98	196,98	3,65
Recording16	Participant16	Timeline1	image 2	1	image 2	4999	61731				3497	350	10	233	2,71144	11	123,25	34,01	313,01	90,24	3,82	1,08	12,07	42,01	1049	169	152,21	82,05	2,99
Recording16	Participant16	Timeline1	image 7	1	image 7	5015	86742				4030	269	15	483	2,91343	16	95,77	31,96	303,44	77,7	2,98	0,74	13	47,73	138	38,59	80,3	57,09	1,6
Recording16	Participant16	Timeline1	imagen 4	1	imagen 4	4999	71745				3714	371	10	100	3,01635	11	101,74	50,44	241,16	53,3	3,22	1,76	6,83	35,47	112	103,32	113,39	79,84	4,19
Recording16	Participant16	Timeline1	imagen 5	1	imagen 5	4999	76744				2648	441	6	233	3,15919	7	48,25	32,02	69,42	13,15	1,38	1,02	2,25	9,64	243	72,3	39,3	39,3	1,08
Recording16	Participant16	Timeline1	imagen 10	1	imagen 10	4999	96756				3547	507	7	150	3,29965	7	103,08	44,67	245,42	65,99	3,36	1,48	9,6	23,5	183	62,63	245,42	180,57	9,6
Recording16	Participant16	Timeline1	Imagen 1	1	Imagen 1	5032	56699				2082	694	3	233	3,31501	3	89,4	44,94	145,3	51,15	2,45	0,97	4,36	7,35	152	18,91	145,3	117,59	4,36
Recording16	Participant16	Timeline1	Imagen 3	1	Imagen 3	5015	66730				4530	755	6	117	2,82893	7	99,28	55,44	152,56	40,23	2,92	1,3	4,79	20,43	181	307,89	55,44	55,44	1,3
Recording16	Participant16	Timeline1	Imagen 6	1	Imagen 6	4999	81743				4497	749	6	283	3,10817	6	62,96	34,46	111,47	27,79	1,86	1,04	3,38	11,16	190	320,44	52,07	41,17	1,5
Recording16	Participant16	Timeline1	Imagen 8	1	Imagen 8	4999	91757				4363	336	13	167	3,30324	12	137,08	36,49	421,04	120	3,83	0,96	7,92	45,97	19	293,36	100,34	100,34	2,55
