Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording13	Participant13	Timeline1	imagen 1	1	imagen 1	5015	46612				2781	464	6	799	3,93956	5	82,14	39,96	145,47	43,36	2,31	1,37	4,51	11,55	2199	267,42	145,47	115,99	4,51
Recording13	Participant13	Timeline1	imagen 2	1	imagen 2	4999	51627				3131	391	8	133	3,62967	7	167,97	36,73	547,15	187,25	5,09	1,14	12,96	35,66	398	216,6	40,58	40,58	1,14
Recording13	Participant13	Timeline1	imagen 3	1	imagen 3	4999	56626				3381	260	13	200	3,45522	13	169,8	40,96	559,24	129,75	4,5	1,04	11,14	58,54	146	108,05	559,24	224,83	11,14
Recording13	Participant13	Timeline1	imagen 4	1	imagen 4	5032	61624				3514	502	7	167	3,57189	7	91,2	64,75	125,73	22,16	2,96	1,84	3,84	20,69	193	42,17	78,44	63,86	2,21
Recording13	Participant13	Timeline1	imagen 7	1	imagen 7	4982	66657				1582	198	8	283	3,62879	5	53,88	31,7	88,41	24,94	1,49	0,69	2,55	7,46	158	76,71	88,41	88,41	2,16
Recording13	Participant13	Timeline1	imagen 8	1	imagen 8	4999	71639				333	111	3	167	3,47102	4	64,61	41,56	88,01	21,17	2,26	1,32	3,22	9,03	5	204,57	52,9	47,99	1,97
Recording13	Participant13	Timeline1	imagen 9	1	imagen 9	4999	76638				3398	261	13	133	3,29455	13	214,49	32,55	733,56	219,13	5,23	1,13	13,69	68,01	220	304,75	182,27	100,75	6
Recording13	Participant13	Timeline1	imagen 11	1	imagen 11	4999	91651				2781	464	6	283	3,67747	3	177,58	104,88	308,6	113,7	4,54	2,99	6,55	13,61	296	329,84	104,88	62,37	2,99
Recording13	Participant13	Timeline1	inagen 5	1	inagen 5	5015	81636				4364	364	12	117	3,60303	12	110,06	35,31	275,24	94,87	3,21	0,54	8,75	38,48	51	9,21	108,37	108,37	2,16
Recording13	Participant13	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	96835	0				67734	502	135	333	3,4727	107	137,74	30,39	733,56	128,04	3,86	0,54	13,69	412,66	4859	291,24	87,42	87,42	3,38
